Adelidae,Adela ridingsella
Apatelodidae,Apatelodes torrefacta
Apatelodidae,Olceclostera angelica
Argyresthiidae,Argyresthia austerella
Argyresthiidae,Argyresthia calliphanes
Argyresthiidae,Argyresthia freyella
Argyresthiidae,Argyresthia goedartella
Argyresthiidae,Argyresthia oreasella
Argyresthiidae,Argyresthia subreticulata
Attevidae,Atteva aurea
Autostichidae,Gerdana caritella
Autostichidae,Glyphidocera septentrionella
Autostichidae,Oegoconia novimundi
Autostichidae,Spinitibia hodgesi
Autostichidae,Taygete attributella
Batrachedridae,Batrachedra illusor
Batrachedridae,Batrachedra praeangusta
Bedelliidae,Bedellia somnulentella
Blastobasidae,Blastobasis glandulella
Blastobasidae,Holcocera chalcofrontella
Bucculatricidae,Bucculatrix adelpha
Bucculatricidae,Bucculatrix angustata
Bucculatricidae,Bucculatrix canadensisella
Bucculatricidae,Bucculatrix coronatella
Bucculatricidae,Bucculatrix eclecta
Bucculatricidae,Bucculatrix inusitata
Bucculatricidae,Bucculatrix montana
Bucculatricidae,Bucculatrix pomifoliella
Bucculatricidae,Bucculatrix staintonella
Carposinidae,Bondia crescentella
Carposinidae,Carposina fernaldana
Carposinidae,Carposina sasakii
Choreutidae,Brenthia pavonacella
Choreutidae,Choreutis pariana
Choreutidae,Prochoreutis extrincicella
Choreutidae,Prochoreutis inflatella
Choreutidae,Tebenna carduiella
Choreutidae,Tebenna gnaphaliella
Choreutidae,Tebenna onustana
Choreutidae,Tebenna silphiella
Coleophoridae,Coleophora atromarginata
Coleophoridae,Coleophora cratipennella
Coleophoridae,Coleophora lineapulvella
Coleophoridae,Coleophora mayrella
Coleophoridae,Coleophora quadruplex
Coleophoridae,Coleophora querciella
Coleophoridae,Coleophora tiliaefoliella
Coleophoridae,Coleophora trifolii
Cosmopterigidae,Cosmopterix montisella
Cosmopterigidae,Cosmopterix pulchrimella
Cosmopterigidae,Euclemensia bassettella
Cosmopterigidae,Limnaecia phragmitella
Cosmopterigidae,Perimede erransella
Cosmopterigidae,Perimede ricina
Cosmopterigidae,Stagmatophora wyattella
Cosmopterigidae,Stilbosis tesquella
Cosmopterigidae,Triclonella determinatella
Cosmopterigidae,Walshia amorphella
Cosmopterigidae,Walshia elegans
Cosmopterigidae,Walshia miscecolorella
Cossidae,Acossus centerensis
Cossidae,Prionoxystus macmurtrei
Cossidae,Prionoxystus robiniae
Crambidae,Acentria ephemerella
Crambidae,Achyra bifidalis
Crambidae,Achyra rantalis
Crambidae,Aethiophysa invisalis
Crambidae,Agriphila ruricolellus
Crambidae,Agriphila vulgivagellus
Crambidae,Anageshna primordialis
Crambidae,Anania extricalis
Crambidae,Anania funebris
Crambidae,Anania mysippusalis
Crambidae,Anania tertialis
Crambidae,Apogeshna stenialis
Crambidae,Arequipa turbatella
Crambidae,Argyria auratella
Crambidae,Argyria critica
Crambidae,Argyria nummulalis
Crambidae,Blepharomastix ranalis
Crambidae,Chalcoela iphitalis
Crambidae,Chalcoela pegasalis
Crambidae,Chrysendeton medicinalis
Crambidae,Chrysoteuchia topiarius
Crambidae,Compacta capitalis
Crambidae,Conchylodes ovulalis
Crambidae,Crambus agitatellus
Crambidae,Crambus albellus
Crambidae,Crambus girardellus
Crambidae,Crambus hamella
Crambidae,Crambus laqueatellus
Crambidae,Crambus leachellus
Crambidae,Crambus praefectellus
Crambidae,Crambus saltuellus
Crambidae,Crambus youngellus
Crambidae,Crocidophora pustuliferalis
Crambidae,Crocidophora serratissimalis
Crambidae,Crocidophora tuberculalis
Crambidae,Desmia funeralis-maculalis
Crambidae,Diacme adipaloides
Crambidae,Diaphania hyalinata
Crambidae,Diaphania nitidalis
Crambidae,Diastictis argyralis
Crambidae,Diastictis ventralis
Crambidae,Dicymolomia julianalis
Crambidae,Donacaula longirostrallus
Crambidae,Donacaula melinellus
Crambidae,Ecpyrrhorrhoe puralis
Crambidae,Elophila gyralis
Crambidae,Elophila icciusalis
Crambidae,Elophila obliteralis
Crambidae,Elophila tinealis
Crambidae,Eoreuma densella
Crambidae,Epina alleni
Crambidae,Epipagis fenestralis
Crambidae,Euchromius ocellea
Crambidae,Eudonia heterosalis
Crambidae,Eudonia strigalis
Crambidae,Eustixia pupula
Crambidae,Evergestis pallidata
Crambidae,Evergestis rimosalis
Crambidae,Evergestis unimacula
Crambidae,Fissicrambus mutabilis
Crambidae,Fumibotys fumalis
Crambidae,Glaphyria fulminalis
Crambidae,Glaphyria glaphyralis
Crambidae,Glaphyria sesquistrialis
Crambidae,Hahncappsia mancalis
Crambidae,Hahncappsia marculenta
Crambidae,Hahncappsia neomarculenta
Crambidae,Hahncappsia pergilvalis
Crambidae,Haimbachia squamulella
Crambidae,Hellula rogatalis
Crambidae,Helvibotys helvialis
Crambidae,Herpetogramma abdominalis
Crambidae,Herpetogramma aeglealis
Crambidae,Herpetogramma bipunctalis
Crambidae,Herpetogramma pertextalis
Crambidae,Herpetogramma phaeopteralis
Crambidae,Herpetogramma sphingealis
Crambidae,Herpetogramma theseusalis
Crambidae,Herpetogramma thestealis
Crambidae,Hymenia perspectalis
Crambidae,Lineodes integra
Crambidae,Lipocosma adelalis
Crambidae,Lipocosma sicalis
Crambidae,Lipocosmodes fuliginosalis
Crambidae,Loxostege cereralis
Crambidae,Loxostege commixtalis
Crambidae,Loxostege sticticalis
Crambidae,Loxostegopsis merrickalis
Crambidae,Lygropia octonalis
